Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
sfp,0.0,0.1,5,0.1,-73764,-162464,-112821.06,19259.12154142413
sfp,0.0,0.1,5,0.2,-57638,-178155,-115652.08,24454.669308192682
sfp,0.0,0.1,5,0.3,-51339,-149595,-105125.8,23102.610471811295
sfp,0.0,0.1,5,0.4,-45407,-152277,-92582.96,26335.26480375851
sfp,0.0,0.1,5,0.5,-43391,-147287,-90238.86,21347.893612107906
sfp,0.0,0.1,5,0.6,-54830,-180842,-96455.74,25019.199928324433
sfp,0.0,0.1,5,0.7,-68149,-144384,-105533.88,19296.11361488026
sfp,0.0,0.1,5,0.8,-73604,-180455,-122019.96,19042.581966675396
sfp,0.0,0.1,5,0.9,-84129,-175316,-134654.14,20080.263411974596
sfp,0.0,0.1,5,1.0,-82635,-155765,-118683.34,19358.840526092823
sfp,0.0,0.1,6,0.0,-75686,-151929,-112861.1,19047.78098731756
sfp,0.0,0.1,6,0.1,-77383,-204379,-123241.42,21559.69575065512
sfp,0.0,0.1,6,0.2,-69364,-199307,-120855.16,26641.318672057554
sfp,0.0,0.1,6,0.3,-52270,-198744,-111561.26,29927.804043220207
sfp,0.0,0.1,6,0.4,-56152,-159736,-101471.92,24588.188982152402
sfp,0.0,0.1,6,0.5,-54757,-190488,-96704.06,28398.92244248513
sfp,0.0,0.1,6,0.6,-43004,-156543,-99010.22,21753.262443840744
sfp,0.0,0.1,6,0.7,-53480,-155940,-106440.28,22235.148603735575
sfp,0.0,0.1,6,0.8,-94948,-195648,-128329.58,19883.939936326216
sfp,0.0,0.1,6,0.9,-102276,-195794,-146474.74,21626.205968789112
sfp,0.0,0.1,6,1.0,-95971,-169869,-127005.58,17150.441118965486
sfp,0.0,0.1,7,0.0,-83153,-183291,-120888.04,20249.129239993486
sfp,0.0,0.1,7,0.1,-90907,-213330,-129395.78,20738.39223915147
sfp,0.0,0.1,7,0.2,-74015,-189683,-131889.16,24366.512437811874
sfp,0.0,0.1,7,0.3,-70506,-182241,-116474.26,26255.46501852869
sfp,0.0,0.1,7,0.4,-49090,-204993,-104454.82,29281.06725826887
sfp,0.0,0.1,7,0.5,-54812,-188551,-107119.2,31861.32050122268
sfp,0.0,0.1,7,0.6,-49893,-175988,-110105.62,25164.37785303273
sfp,0.0,0.1,7,0.7,-72923,-146088,-113699.42,18305.256642242613
sfp,0.0,0.1,7,0.8,-93191,-192415,-127662.58,20358.819094988023
sfp,0.0,0.1,7,0.9,-85553,-186107,-143735.76,23666.024622031735
sfp,0.0,0.1,7,1.0,-101987,-192530,-131427.54,20631.875452862954
sfp,0.0,0.1,8,0.0,-86489,-166676,-129625.5,20165.279427212285
sfp,0.0,0.1,8,0.1,-81062,-211966,-133750.48,27245.38494845297
sfp,0.0,0.1,8,0.2,-82472,-213836,-138773.34,27113.925110962027
sfp,0.0,0.1,8,0.3,-62868,-177481,-116491.64,29259.63804284611
sfp,0.0,0.1,8,0.4,-60006,-177663,-109725.48,30177.218068210437
sfp,0.0,0.1,8,0.5,-48084,-181698,-110588.96,32992.12283410099
sfp,0.0,0.1,8,0.6,-49145,-154046,-103115.62,22576.729824014164
sfp,0.0,0.1,8,0.7,-55302,-169913,-118488.06,28279.447664705483
sfp,0.0,0.1,8,0.8,-96640,-185570,-138404.06,20804.110584218884
sfp,0.0,0.1,8,0.9,-106832,-210645,-144276.22,20330.941393113208
sfp,0.0,0.1,8,1.0,-88416,-177798,-131432.26,21875.41881283974
sfp,0.0,0.1,9,0.0,-78909,-163378,-119120.88,16846.985459937543
sfp,0.0,0.1,9,0.1,-91287,-196794,-139252.84,24072.815160030194
sfp,0.0,0.1,9,0.2,-86135,-191330,-135299.06,25120.637496306026
sfp,0.0,0.1,9,0.3,-57665,-241763,-128423.44,31700.272139538745
sfp,0.0,0.1,9,0.4,-49934,-164703,-107863.24,28235.945288029077
sfp,0.0,0.1,9,0.5,-52118,-177516,-100899.74,26558.682256014104
sfp,0.0,0.1,9,0.6,-69128,-211023,-112149.3,32015.07790582941
sfp,0.0,0.1,9,0.7,-58586,-190795,-115948.18,28889.530372268153
sfp,0.0,0.1,9,0.8,-99453,-218477,-136178.52,23303.090210457813
sfp,0.0,0.1,9,0.9,-105082,-255635,-157294.4,28875.17666913
sfp,0.0,0.1,9,1.0,-109183,-191901,-142956.4,19552.752093988704
sfp,0.0,0.1,10,0.0,-91186,-174557,-131493.36,18525.447643670243
sfp,0.0,0.1,10,0.1,-96617,-192751,-142786.94,23636.124788914593
