Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.0,16,0.8,103,-19,61.06,36.0868623276264
ksp,0.0,0.0,16,0.9,109,-16,63.12,39.38902778952638
ksp,0.0,0.0,16,1.0,110,-16,51,43.593202990131104
ksp,0.0,0.1,2,0.0,129,99,115.12,8.453087830937935
ksp,0.0,0.1,2,0.1,130,95,113.94,7.836101696374184
ksp,0.0,0.1,2,0.2,132,99,117.26,8.939273585974307
ksp,0.0,0.1,2,0.3,126,95,115.24,7.110096299471274
ksp,0.0,0.1,2,0.4,130,93,114.18,9.242073272126062
ksp,0.0,0.1,2,0.5,124,83,104.48,10.457377046557973
ksp,0.0,0.1,2,0.6,123,63,91.14,12.01701175120385
ksp,0.0,0.1,2,0.7,115,71,92.64,11.7330163840927
ksp,0.0,0.1,2,0.8,109,58,88.86,12.785530724939319
ksp,0.0,0.1,2,0.9,119,61,91.5,11.494896826906473
ksp,0.0,0.1,2,1.0,119,64,94.96,11.628536328483355
ksp,0.0,0.1,3,0.0,128,86,109.68,9.867365299773981
ksp,0.0,0.1,3,0.1,130,95,112.16,7.421315137315417
ksp,0.0,0.1,3,0.2,129,83,110.64,10.219549093451697
ksp,0.0,0.1,3,0.3,130,75,108.8,10.224021334333079
ksp,0.0,0.1,3,0.4,123,89,107.68,8.498355182994326
ksp,0.0,0.1,3,0.5,128,70,99.94,12.48903192274513
ksp,0.0,0.1,3,0.6,107,-3,85.88,17.05051318875769
ksp,0.0,0.1,3,0.7,121,63,87.54,14.368630798388836
ksp,0.0,0.1,3,0.8,122,62,86.4,13.953274796656892
ksp,0.0,0.1,3,0.9,121,-3,86.36,19.468194889226325
ksp,0.0,0.1,3,1.0,111,67,88.9,11.732129267224137
ksp,0.0,0.1,4,0.0,123,86,106.38,8.359010780259217
ksp,0.0,0.1,4,0.1,125,89,106.72,8.820292003125983
ksp,0.0,0.1,4,0.2,128,78,108.78,9.519668147191533
ksp,0.0,0.1,4,0.3,127,89,107.76,8.546535280809554
ksp,0.0,0.1,4,0.4,126,80,104.8,11.43214229928146
ksp,0.0,0.1,4,0.5,119,71,96.5,11.56393055132719
ksp,0.0,0.1,4,0.6,109,-2,86.64,17.15804089477988
ksp,0.0,0.1,4,0.7,112,66,86.1,9.0694598538621
ksp,0.0,0.1,4,0.8,113,-12,86.84,18.986955780111735
ksp,0.0,0.1,4,0.9,108,57,88.42,12.219238761820122
ksp,0.0,0.1,4,1.0,114,61,87.2,12.628118931776896
ksp,0.0,0.1,5,0.0,127,75,102.42,9.005871100882706
ksp,0.0,0.1,5,0.1,120,78,105.16,10.673943096367424
ksp,0.0,0.1,5,0.2,129,78,102.36,10.769874840574177
ksp,0.0,0.1,5,0.3,119,82,103.06,10.37935549098128
ksp,0.0,0.1,5,0.4,123,83,99.76,9.853125475332844
ksp,0.0,0.1,5,0.5,126,65,92.14,11.5723280073719
ksp,0.0,0.1,5,0.6,105,-2,82.56,20.77003335852607
ksp,0.0,0.1,5,0.7,109,-7,82.96,17.60213345139777
ksp,0.0,0.1,5,0.8,100,-2,80.44,16.699211761918217
ksp,0.0,0.1,5,0.9,126,-16,81.6,23.854148657272706
ksp,0.0,0.1,5,1.0,120,-6,82.66,18.02221984560352
ksp,0.0,0.1,6,0.0,119,80,99.94,10.00083669969056
ksp,0.0,0.1,6,0.1,123,73,100.16,12.55251824478715
ksp,0.0,0.1,6,0.2,123,69,98.52,10.32184131651254
ksp,0.0,0.1,6,0.3,122,71,99.76,11.116378796668473
ksp,0.0,0.1,6,0.4,123,71,95.68,13.38814583800131
ksp,0.0,0.1,6,0.5,116,60,93.74,11.814570734167749
ksp,0.0,0.1,6,0.6,116,-2,81.42,21.186335604028617
ksp,0.0,0.1,6,0.7,125,-4,81.12,16.783908717481
ksp,0.0,0.1,6,0.8,109,-3,81.54,17.624438042857726
ksp,0.0,0.1,6,0.9,110,-2,81.3,17.480309622252
ksp,0.0,0.1,6,1.0,110,-14,79.2,24.367090553466088
ksp,0.0,0.1,7,0.0,125,71,98.9,12.320962724112901
ksp,0.0,0.1,7,0.1,116,70,97.9,11.55510312213895
ksp,0.0,0.1,7,0.2,121,81,100.16,9.95983771689774
ksp,0.0,0.1,7,0.3,118,67,96.26,11.279039617532938
