Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.2,Tournament,OnePoint,SinglePoint,Random,165,78,121.59333333333333,16.173431562821783
Knapsack,0.3,Tournament,OnePoint,SinglePoint,Random,165,75,121.5925,15.698169481269357
Knapsack,0.4,Tournament,OnePoint,SinglePoint,Random,176,75,125.314,17.15844481463614
Knapsack,0.5,Tournament,OnePoint,SinglePoint,Random,176,-4,126.46666666666667,17.99412505374013
Knapsack,0.6,Tournament,OnePoint,SinglePoint,Random,176,-4,126.42428571428572,17.561947872599728
Knapsack,0.7,Tournament,OnePoint,SinglePoint,Random,176,-4,125.45125,17.307210863462096
Knapsack,0.8,Tournament,OnePoint,SinglePoint,Random,176,-4,124.43111111111111,17.393269922187816
Knapsack,0.9,Tournament,OnePoint,SinglePoint,Random,176,-17,121.973,20.651458877129087
Knapsack,1.0,Tournament,OnePoint,SinglePoint,Random,176,-169,98.99727272727273,75.5047859079939
Knapsack,0.0,Tournament,OnePoint,SinglePoint,Elitism,147,76,118,13.31058665768407
Knapsack,0.1,Tournament,OnePoint,SinglePoint,Elitism,171,76,121.095,15.885456039026364
Knapsack,0.2,Tournament,OnePoint,SinglePoint,Elitism,171,76,120.22333333333333,15.762666687224298
Knapsack,0.3,Tournament,OnePoint,SinglePoint,Elitism,171,76,119.39,15.433514941796203
Knapsack,0.4,Tournament,OnePoint,SinglePoint,Elitism,171,76,121.768,16.196630442019437
Knapsack,0.5,Tournament,OnePoint,SinglePoint,Elitism,178,76,121.61,16.20201867098742
Knapsack,0.6,Tournament,OnePoint,SinglePoint,Elitism,178,76,120.59857142857143,16.04590154738662
Knapsack,0.7,Tournament,OnePoint,SinglePoint,Elitism,178,76,119.665,15.94923972513305
Knapsack,0.8,Tournament,OnePoint,SinglePoint,Elitism,178,76,118.6511111111111,15.866182928536707
Knapsack,0.9,Tournament,OnePoint,SinglePoint,Elitism,178,74,118.038,15.806530372045675
Knapsack,1.0,Tournament,OnePoint,SinglePoint,Elitism,178,-161,95.54636363636364,72.94434686298248
Knapsack,0.0,Tournament,OnePoint,SinglePoint,DeterministCrowding,141,78,109.62,14.324366469323337
Knapsack,0.1,Tournament,OnePoint,SinglePoint,DeterministCrowding,143,68,109.945,14.965352782998401
Knapsack,0.2,Tournament,OnePoint,SinglePoint,DeterministCrowding,143,68,109.94333333333333,14.68396580382773
Knapsack,0.3,Tournament,OnePoint,SinglePoint,DeterministCrowding,143,68,110.1075,14.707880476815847
Knapsack,0.4,Tournament,OnePoint,SinglePoint,DeterministCrowding,144,68,109.962,14.447491686519987
